easting,northing,TMI,RTP,Residual_TMI,Regional_TMI,VD1,VD2,HoriG,TotG,AnalyticSignal,TiltG,crs,cell_size_m
533796.9306681117,7611908.325619485,53742.15,12025.566598801322,8.941168775047117,53733.208831224954,-1387.4378294908051,-232.7863900971268,1225.2465265113547,1851.0031824473713,1851.0031824473713,-0.847397017523477,EPSG:25835,12.5
533809.4306681117,7611908.325619485,53756.58,12125.455211040631,22.871511651639594,53733.70848834836,-1414.6220532724215,-237.40292302991375,1250.3548921518336,1887.9997113169018,1887.9997113169018,-0.8469595197509093,EPSG:25835,12.5
533821.9306681117,7611908.325619485,53756.58,12230.88372058613,22.428986195925972,53734.151013804076,-1442.7064218639416,-242.17167590401164,1275.1531565971538,1925.4655002017416,1925.4655002017416,-0.8469692180164008,EPSG:25835,12.5
533834.4306681117,7611908.325619485,53756.58,12339.662235358048,22.036221903865226,53734.54377809614,-1471.3091538796807,-247.2348302596074,1302.101342547764,1964.7438847225944,1964.7438847225944,-0.8463333661887814,EPSG:25835,12.5
533846.9306681117,7611908.325619485,53759.3,12448.516875907204,24.406559607668896,53734.893440392334,-1498.8583078936717,-251.8262227979936,1325.9375176689905,2001.1712889965431,2001.1712889965431,-0.8465371939560431,EPSG:25835,12.5
533859.4306681117,7611908.325619485,53759.3,12560.267748728102,24.094043286168016,53735.205956713835,-1526.4861944389786,-256.54249664618845,1350.4478673386109,2038.1043997332908,2038.1043997332908,-0.8465115258273165,EPSG:25835,12.5
533871.9306681117,7611908.325619485,53759.3,12675.013686523418,23.813408150715986,53735.48659184929,-1554.3222074522566,-261.37467636654725,1377.374253650995,2076.7949728367244,2076.7949728367244,-0.845681877553566,EPSG:25835,12.5
533884.4306681117,7611908.325619485,53746.07,12793.831360277842,10.330045211048855,53735.73995478895,-1582.1399818795087,-266.09645079903527,1400.6537710295895,2113.0541660262998,2113.0541660262998,-0.8461676183970309,EPSG:25835,12.5
533896.9306681117,7611908.325619485,53746.07,12910.436076684045,10.100001508399146,53735.9699984916,-1609.0490036474246,-270.66092085249244,1425.927056416907,2149.9550382183706,2149.9550382183706,-0.8456622987854943,EPSG:25835,12.5
533909.4306681117,7611908.325619485,53732.97,13032.919940974572,-3.2100543275882956,53736.18005432759,-1636.4489798957472,-275.36040611754805,1449.8997251665733,2186.361012467963,2186.361012467963,-0.8457680663582235,EPSG:25835,12.5
533921.9306681117,7611908.325619485,53732.97,13151.085108093352,-3.402900209366635,53736.37290020937,-1662.8985029640885,-279.8968107813473,1473.6788860406136,2221.9272918622046,2221.9272918622046,-0.8456519208550083,EPSG:25835,12.5
533934.4306681117,7611908.325619485,53732.97,13272.830542916787,-3.5806659405861865,53736.55066594059,-1688.359066759133,-284.10079628677477,1496.9037792501922,2256.3858851360683,2256.3858851360683,-0.8454325253630339,EPSG:25835,12.5
533946.9306681117,7611908.325619485,53714.56,13397.323142414909,-22.15502571757679,53736.715025717574,-1715.297157912409,-288.7572710973918,1520.19765883326,2291.995912270463,2291.995912270463,-0.8456249788446661,EPSG:25835,12.5
533959.4306681117,7611908.325619485,53714.56,13521.42241562673,-22.307113644194033,53736.86711364419,-1741.1753219996403,-293.2296547551366,1545.4601117498128,2328.1190817804604,2328.1190817804604,-0.84487672919945,EPSG:25835,12.5
533971.9306681117,7611908.325619485,53714.56,13644.142102340493,-22.44763651622634,53737.007636516224,-1766.702151746029,-297.5281647970405,1566.6723395219205,2361.2917465673604,2361.2917465673604,-0.8453344918138975,EPSG:25835,12.5
533984.4306681117,7611908.325619485,53707.05,13773.21848079134,-30.08683111884602,53737.13683111885,-1792.4853223235173,-301.9771861748186,1590.9859830780142,2396.7144237676625,2396.7144237676625,-0.8448819327864712,EPSG:25835,12.5
533996.9306681117,7611908.325619485,53707.05,13896.925134627367,-30.204432823309617,53737.25443282331,-1817.5165744243056,-306.1645299599894,1611.1709440294112,2428.834763665838,2428.834763665838,-0.8455077677763625,EPSG:25835,12.5
534009.4306681117,7611908.325619485,53715.53,14024.55932684389,-21.829890950401023,53737.3598909504,-1842.0809708388172,-310.365275839653,1633.9155309956611,2462.3042593382547,2462.3042593382547,-0.8452132751477424,EPSG:25835,12.5
534021.9306681117,7611908.325619485,53715.53,14153.862841091111,-21.922596690419596,53737.45259669042,-1867.5669468845638,-314.9772482968911,1658.8647529415905,2497.926854342956,2497.926854342956,-0.8445114710960304,EPSG:25835,12.5
