longitude,latitude,magnetic_anomaly
27.82394652713568,68.61731743869346,70.87246676165952
27.824160343718592,68.61731743869346,75.55136307078902
27.82437416030151,68.61731743869346,93.48591174045231
27.82351889396985,68.61739497738694,70.9677740986783
27.823732710552765,68.61739497738694,71.06740980659691
27.82394652713568,68.61739497738694,74.21929386062955
27.824160343718592,68.61739497738694,74.89950575608927
27.82437416030151,68.61739497738694,107.15690862149546
27.824587976884423,68.61739497738694,125.31033476223267
27.824801793467337,68.61739497738694,106.64266681018437
27.823305077386934,68.6174725160804,78.30784687863417
27.82351889396985,68.6174725160804,76.92497863948739
27.823732710552765,68.6174725160804,76.03559907972564
27.82394652713568,68.6174725160804,70.44893941442896
27.824160343718592,68.6174725160804,74.18552138584887
27.82437416030151,68.6174725160804,120.81337486217063
27.824587976884423,68.6174725160804,125.23152635290668
27.824801793467337,68.6174725160804,114.8835571744263
27.82501561005025,68.6174725160804,101.30943421642328
27.823305077386934,68.61755005477387,71.34505334727668
27.82351889396985,68.61755005477387,85.60665733720529
27.823732710552765,68.61755005477387,90.0498186557917
27.82394652713568,68.61755005477387,83.98098361322852
27.824160343718592,68.61755005477387,73.47153701547764
27.82437416030151,68.61755005477387,129.30958752049537
27.824587976884423,68.61755005477387,110.17745204252492
27.824801793467337,68.61755005477387,100.76348116796738
27.82501561005025,68.61755005477387,85.08579600643328
27.825229426633165,68.61755005477387,84.63447767981489
27.82309126080402,68.61762759346733,72.32311063072788
27.823305077386934,68.61762759346733,80.3005518588579
27.82351889396985,68.61762759346733,94.29159606054336
27.823732710552765,68.61762759346733,102.42178638430138
27.82394652713568,68.61762759346733,105.54179288748182
27.824160343718592,68.61762759346733,125.73996778421426
27.82437416030151,68.61762759346733,88.59404842417365
27.824587976884423,68.61762759346733,95.34808985643318
27.824801793467337,68.61762759346733,85.72973993135287
27.82501561005025,68.61762759346733,82.92964717913812
27.825229426633165,68.61762759346733,96.0130474094073
27.825443243216082,68.61762759346733,108.17049951068326
27.822877444221106,68.61770513216081,82.64062533048067
27.82309126080402,68.61770513216081,82.28161262984968
27.823305077386934,68.61770513216081,91.73466772766723
